"geo","time","pop","gdp_pc","gini","u5mr"
"irq",1861,,1149.821298,56.2,427.86
"cub",1861,,1753.189851,40.1,369.21
"sgp",1861,,1122.068802,42,392.21
"usa",1861,,3637.838311,54.9,329.432
"mus",1861,,1149.113618,42.5,427.86
"tgo",1861,,834.2725143,42.8,426.55
"nru",1861,,676.8209585,,
"guy",1861,,1604.849143,38.2,429.16
"som",1861,,735.2932173,50.9,451.96
"est",1861,,1251.395893,48.9,359.8
"grd",1861,,1143.965981,,301.6390907
"mex",1861,,1262.417026,42.2,487.15
"uzb",1861,,571.3348724,44.4,380.1515081
"gin",1861,,490.9899883,32.7,442.46
"bgr",1861,,1336.779592,47.8,339.12
"nor",1861,,1978.079187,48.5,228.46
"caf",1861,,518.4321462,47.5,443.79
"mhl",1861,,559.4959231,,
"mdv",1861,,841.5225011,,417.3333625
"kna",1861,,1539.39746,,
"eri",1861,,592.3553099,47.5,441.12
"hnd",1861,,1141.776568,49.5,393.46
"nzl",1861,,3800.887639,38.2,130.4077468
"geo",1861,,661.4778175,29.7,349.2366575
"tca",1861,,643.206427,,
"svn",1861,,1884.193736,36.3,360.97
"irn",1861,,1058.989853,55.5,506.38
"arm",1861,,603.2872818,45.9,342.7344865
"fsm",1861,,537.8106165,,301.163746
"cze",1861,,2560.977487,51.8,379.99
"dom",1861,,835.4955987,44.3,445.15
"bdi",1861,,442.3025737,43.7,423.95
"zaf",1861,,1531.006666,35.9,398.45
"kor",1861,,541.2238304,32.1,503.36
"per",1861,,1345.008495,49.7,371.61
"jam",1861,,908.4223078,39.1,389.77
"ben",1861,,729.3769402,45,430.46
"cpv",1861,,631.9841876,48.9,394.71
"mdg",1861,,700.1875039,41,437.13
"dnk",1861,,3043.894786,53.4,188.2
"smr",1861,,1663.985995,,
"slv",1861,,1378.640772,46.4,461.6
"zmb",1861,,768.6476262,44.2,409.79
"tjk",1861,,706.5008475,47.4,333.2804992
"stp",1861,,952.0429664,,345.460932
"ken",1861,,1033.088798,46.3,507.88
"lby",1861,,1740.191937,42.8,404.69
"tcd",1861,,511.1485703,49.3,431.79
"gnq",1861,,385.5328408,49.6,446.51
"tto",1861,,1540.886044,43.7,335.73
"vct",1861,,1107.71801,,327.4117081
"deu",1861,,2423.368079,44.4,441.8821041
"arg",1861,,2703.643125,29.1,402.19
"bfa",1861,,503.7169732,37.5,454.69
"svk",1861,,1907.658656,51.8,363.32
"gnb",1861,,805.7541837,49.8,417.44
"dza",1861,,1146.386636,53,460.21
"mda",1861,,778.0215783,47.8,354.2834245
"bol",1861,,1262.206752,36.9,404.69
"idn",1861,,1060.078032,40.3,443.79
"tun",1861,,873.8118179,55.1,460.21
"gtm",1861,,1199.853383,35.3,503.36
"ury",1861,,4611.708464,48.1,405.96
"kir",1861,,581.4132264,,362.4712189
"mmr",1861,,847.7240322,39.1,433.13
"ukr",1861,,1018.279421,40,360.97
"can",1861,,2444.223729,36.1,305.11
"mne",1861,,1414.447629,38.5,375.2
"rus",1861,,1908.633117,51.8,408.9945556
"sur",1861,,2163.141831,38.5,405.96
"gbr",1861,,5204.096113,46.5,258.5
"lso",1861,,406.8086539,53,407.24
"hkg",1861,,1107.105533,,
"tkm",1861,,1258.326205,41.4,482.299246
"uga",1861,,566.9653793,41,510.9
"wsm",1861,,1613.803155,,358.5358489
"isr",1861,,887.4957511,44.9,447.4080499
"blr",1861,,779.6747657,51.8,365.67
"pri",1861,,1722.597762,,
"pse",1861,,1231.547714,41.3,434.6202531
"atg",1861,,1000.413586,,288.6163902
"pol",1861,,1530.467565,31,369.21
"isl",1861,,1450.266571,,438.25
"ago",1861,,807.264789,37.2,485.68
"bhs",1861,,1910.307005,,277.5178697
"dji",1861,,912.0743891,44.6,445.15
"jpn",1861,,1172.44617,45.9,363.32
"brn",1861,,1742.580376,,454.69
"sen",1861,,607.7051402,43.8,512.4
"fra",1861,,3146.813157,56.3,291.09
"nic",1861,,1508.284548,47.1,509.39
"esp",1861,,1896.866532,32.7,273.18
"tha",1861,,990.993645,38.9,438.46
"hun",1861,,1724.212339,39.7,408.959066
"hti",1861,,964.0468645,43.7,485.7531249
"mys",1861,,1087.434128,33.9,435.79
"kgz",1861,,730.0796595,46,378.2994552
"vnm",1861,,839.4260237,40.4,417.44
"fin",1861,,1592.073571,50.6,368.1687238
"ven",1861,,820.1848634,44,414.89
"khm",1861,,962.7493938,43.7,379.99
"grl",1861,,610.6164934,,
"twn",1861,,1005.058174,,
"chl",1861,,1616.977812,65.9,417.44
"grc",1861,,1895.319728,49.9,360.97
"rwa",1861,,465.6811145,59,420.04
"brb",1861,,1207.56356,,582.2091367
"afg",1861,,694.7439479,41,477.1
"com",1861,,740.5098423,43,416.16
"kaz",1861,,1521.236615,43.3,497.41
"cod",1861,,623.4286525,42.1,422.65
"qat",1861,,1378.364512,43.6,433.13
"ton",1861,,763.62006,,275.9996661
"mng",1861,,636.3381211,43.6,420.04
"sau",1861,,901.9189206,45.9,416.16
"mwi",1861,,353.1012126,45.7,439.79
"mar",1861,,770.0913295,55.1,403.44
"mli",1861,,612.7807748,47.2,494.48
"kwt",1861,,1378.364512,43.6,500.35
"png",1861,,629.6013047,36.5,423.95
"gmb",1861,,843.626224,46.3,460.21
"jor",1861,,1157.539181,42.6,421.34
"and",1861,,2015.435835,,
"cog",1861,,682.9956359,45.8,408.51
"mkd",1861,,922.9922388,32.5,387.637071
"zwe",1861,,935.1679533,34.6,395.95
"mac",1861,,1143.71131,,
"tuv",1861,,828.1610431,,
"prk",1861,,544.03433,48.4,500.35
"lbr",1861,,892.1757466,43.7,429.16
"ssd",1861,,620.0799518,33.78,490.08
"vut",1861,,674.7544153,,302.7242814
"fji",1861,,904.6676018,46.6,498.88
"prt",1861,,1626.185784,43.4,372.81
"ecu",1861,,689.7548667,44.2,405.96
"ita",1861,,2388.711711,50.8,449.24
"cmr",1861,,765.3643199,42.6,460.21
"bra",1861,,1345.816686,40.5,417.44
"abw",1861,,1100.822193,,
"cri",1861,,1228.966525,45.6,441.12
"gha",1861,,730.6020667,50.2,471.38
"srb",1861,,1816.242708,32.5,374
"yem",1861,,1042.114282,53,540.44
"egy",1861,,958.2981638,54.6,404.69
"irl",1861,,2602.055096,34.5,189.1337684
"che",1861,,4647.117636,50.2,344.77
"chn",1861,,1044.480716,36.8,456.05
"eth",1861,,531.6238655,47.5,447.88
"lux",1861,,2365.480748,35.7,357.45
"syr",1861,,1141.222694,61,429.16
"hrv",1861,,1800.797713,,366.84
"blz",1861,,765.0315091,,301.9980447
"syc",1861,,1007.904179,,260.3258895
"aut",1861,,3228.976583,36.2,428.73
"ner",1861,,545.280121,43.3,433.13
"bgd",1861,,879.7209291,46.4,507.88
"nga",1861,,1063.109561,44.4,438.46
"btn",1861,,684.314323,47.6,440.3928689
"mrt",1861,,644.80313,48.4,417.44
"civ",1861,,1036.888164,42.3,427.86
"bhr",1861,,1734.837667,42.9,439.79
"are",1861,,1253.058647,43.9,434.46
"omn",1861,,1088.665552,44.8,413.61
"mlt",1861,,1141.167563,,201.1711377
"cym",1861,,1373.518405,,
"tza",1861,,629.2507278,37.6,414.89
"bih",1861,,786.1456174,39.6,378.8
"swe",1861,,1949.30705,57.7,216.8
"sle",1861,,897.1537554,50.5,513.91
"npl",1861,,659.9803774,41,407.24
"moz",1861,,404.5399384,48.2,439.79
"rou",1861,,1432.749769,47.8,389.9194686
"nld",1861,,4506.013952,52.9,332.84
"swz",1861,,598.4418959,52.3,413.61
"sdn",1861,,633.5718152,33.8,425.25
"cyp",1861,,1389.643255,38.3,339.12
"gab",1861,,393.8234755,45.9,435.79
"bmu",1861,,1622.434933,,
"pak",1861,,1025.074027,38.6,501.85
"col",1861,,1073.390301,58.9,417.44
"mco",1861,,3221.490068,,
"dma",1861,,876.5171641,,
"aze",1861,,976.4224582,41.1,338.9249211
"lva",1861,,1002.156004,48.9,400.95
"lao",1861,,956.0041498,38.4,418.74
"nam",1861,,998.9168623,52.6,412.34
"lka",1861,,1165.636695,45.3,409.79
"tur",1861,,1522.452599,48.9,379.99
"aus",1861,,4723.250686,44.8,359.6765721
"ind",1861,,1056.443953,34.8,509.39
"tls",1861,,587.6860639,42.9,454.1453409
"alb",1861,,734.8170797,41.2,375.2
"pan",1861,,1348.554481,48.1,405.96
"bel",1861,,4273.351537,52.8,273.42
"pry",1861,,1398.764796,47,374
"bwa",1861,,485.5793451,35.6,397.2
"phl",1861,,1024.883725,43.6,431.79
"lca",1861,,1003.430912,,314.79627
"ltu",1861,,1694.881494,48.9,458.81
"lbn",1861,,1455.017033,53,447.88
"plw",1861,,966.8637454,,
"slb",1861,,420.5947113,48.9,504.87
